baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
0.5	28.76	4.81591212199075	5.97208450321388	2.342e-09	2.666e-05	4.5741564073085	SNORA39
0.43	19.32	4.56174957969963	4.23558140434973	2.280e-05	4.717e-02	1.32632152573524	LYVE1
0.95	17.18	3.64308356188963	4.71640217612085	2.401e-06	8.104e-03	2.09130802697123	MID2
65.35	1.85	0.395133712644271	4.69068210703486	2.723e-06	8.104e-03	2.09130802697123	ANGPTL4
115.49	1.16	0.258615021872745	4.48130860325769	7.419e-06	1.689e-02	1.77246325575505	PRR5
328.08	1.16	0.247063330636507	4.68147315867459	2.848e-06	8.104e-03	2.09130802697123	TSC22D3
377.18	1.02	0.186002317339326	5.48548382930973	4.123e-08	3.129e-04	3.50465613061282	PPP1R15A
1414.18	0.93	0.192940263257513	4.79803196430701	1.602e-06	7.294e-03	2.13700975513956	JUN
361.06	0.71	0.156383069970687	4.53331628282486	5.806e-06	1.469e-02	1.83311937900982	FAM110A
24.33	-3.57	0.681514836986281	-5.24548211886307	1.559e-07	8.870e-04	3.05207539657264	C19orf38
1.87	-34.18	4.80985354435328	-7.10557929271934	1.198e-12	2.727e-08	7.56426429258766	TBC1D3G
