baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
34.17	7.13	2.99370463925143	2.38267008504993	1.719e-02	4.708e-02	1.32712784216139	EEF1E1-MUTED
1065.09	7.13	0.645933504360997	11.0322278594702	2.672e-28	2.245e-26	25.6487224219471	ZBTB32
454.12	6.4	0.797729438063388	8.01723994085752	1.081e-15	2.619e-14	13.5818852463998	IL13
5163.39	6.07	0.364170494014864	16.6800599053768	1.830e-62	3.596e-59	58.4442131664892	LTA
8.94	6.06	1.32003896791758	4.58939770091248	4.445e-06	2.975e-05	4.52645813807049	SERHL2
3487.63	5.78	0.227387251560904	25.4130826184499	1.808e-142	2.841e-138	137.54651169498	CSF1
143.47	5.44	0.767085913855253	7.08861222172795	1.355e-12	2.277e-11	10.6426472666137	HPDL
33.65	5.44	0.899449674640492	6.04496473955575	1.494e-09	1.686e-08	7.77313444470734	SPR
8675.37	5.26	0.465512539808491	11.3043911741682	1.248e-29	1.154e-27	26.9378336766782	CSF2
316.12	5.17	0.31975582112266	16.155653662645	1.036e-58	1.163e-55	54.9343659437053	OSM
55.83	4.99	0.913809974350427	5.46071482247638	4.742e-08	4.353e-07	6.36118070375982	GNG8
440.09	4.99	0.32543397593799	15.3301345612173	4.810e-53	4.200e-50	49.3767952029613	IFNG
19.23	4.9	1.67392512915802	2.9276575012481	3.415e-03	1.195e-02	1.9226739140516	KRT17
3.29	4.82	2.02095515553941	2.38444506993252	1.710e-02	4.689e-02	1.32891934707853	CYR61
14.44	4.81	1.3280833040833	3.62430074149687	2.897e-04	1.340e-03	2.87286645257049	PRSS56
9.96	4.76	1.17015228105548	4.06693671187548	4.764e-05	2.643e-04	3.57797680750804	PMP22
60.67	4.73	1.24290352016257	3.80956300976493	1.392e-04	6.949e-04	3.15805038544891	CHAC1
6.02	4.7	1.44991791447682	3.23935881391505	1.198e-03	4.762e-03	2.32224232059856	FAM86C2P
13.5	4.67	1.19684308713179	3.89993969034846	9.622e-05	4.984e-04	3.30242331296911	ACY3
12.85	4.5	1.01704229053779	4.42702090696459	9.554e-06	6.043e-05	4.21878333969445	OSGIN1
301.42	4.48	0.744712852363178	6.02009455609334	1.743e-09	1.950e-08	7.70999901834033	PTGIR
24.29	4.41	0.900811437983954	4.89191095409109	9.986e-07	7.406e-06	5.13039030543062	GLB1L2
33.15	4.36	0.633110513701817	6.88905901122233	5.616e-12	8.756e-11	10.057670997404	SLAMF1
25.38	4.25	0.720401954497534	5.90081278921093	3.617e-09	3.888e-08	7.41023864046887	FSTL3
8.69	4.24	1.10244326631513	3.8493441858939	1.184e-04	6.004e-04	3.2215414690133	SNAR-B1
8.69	4.24	1.10244326631513	3.8493441858939	1.184e-04	6.004e-04	3.2215414690133	SNAR-B2
120.81	4.23	0.381618527531824	11.0892381346135	1.415e-28	1.215e-26	25.9153906387176	LOC100128420
21573.53	4.19	0.436983983349129	9.58146883834247	9.567e-22	4.409e-20	19.3556163145008	CCL3
4.63	4.15	1.34380199481686	3.09094573615392	1.995e-03	7.450e-03	2.12785026780929	DGAT2
9.78	4.05	1.25077272462806	3.23915461987052	1.199e-03	4.764e-03	2.32204120063385	SYS1-DBNDD2
