baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
0.51	30.62	4.81302599638873	6.36130143294712	2.001e-10	2.277e-06	5.64267796380292	LUZP4
0.7	24.18	4.78249576105054	5.05663381556445	4.267e-07	1.619e-03	2.79079632647786	FAM224B
1.22	20.91	3.40666550460664	6.13752455225743	8.382e-10	6.359e-06	5.19657733098253	FAM24B-CUZD1
377.18	0.84	0.184447496227068	4.53699747434424	5.706e-06	1.855e-02	1.73154984330315	PPP1R15A
255.18	-0.74	0.174452253750031	-4.25495350159813	2.091e-05	4.759e-02	1.32245120313345	IQSEC1
24.33	-3.01	0.69110835768544	-4.34957729374117	1.364e-05	3.881e-02	1.41106455660282	C19orf38
0.52	-20.64	4.78426099945308	-4.3131453254143	1.609e-05	4.071e-02	1.3903458402947	OR10A3
0.49	-24.7	4.78444799152286	-5.16230545647771	2.439e-07	1.110e-03	2.95450001882021	SPATA31A4
0.52	-25.03	4.78774229309391	-5.22779072695855	1.715e-07	9.762e-04	3.0104651240325	OR52A5
1.87	-38.94	4.77048755733105	-8.16361950041658	3.251e-16	7.401e-12	11.130729885165	TBC1D3G
