baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	padj_nlog10	gene
34.17	8.99	3.06618573766661	2.93334091166864	3.353e-03	1.252e-02	1.90224220970533	EEF1E1-MUTED
1065.09	6.66	0.634568861581346	10.4960495735265	9.007e-26	9.683e-24	23.0140061948279	ZBTB32
316.12	6.53	0.461554252686715	14.1554756470608	1.728e-45	1.424e-42	41.8465296181284	OSM
5163.39	5.92	0.365556613722532	16.1955677744095	5.420e-59	8.107e-56	55.0911205897994	LTA
3487.63	5.89	0.230267186506839	25.5713699218475	3.177e-144	4.713e-140	139.326674394624	CSF1
5.44	5.16	1.76831567770544	2.9197683964282	3.503e-03	1.299e-02	1.88623411792236	AGAP7
454.12	4.9	0.760824038461253	6.4454631941604	1.152e-10	1.858e-09	8.73086728029385	IL13
120.81	4.84	0.458475437570018	10.5485837037194	5.157e-26	5.840e-24	23.2335988068324	LOC100128420
21573.53	4.5	0.437174684857323	10.2866751867717	8.092e-25	7.959e-23	22.0991665829358	CCL3
25.85	4.38	1.43094863819393	3.06105665935762	2.206e-03	8.695e-03	2.06072512626791	PRSS23
8675.37	4.29	0.462860559929478	9.27142647184138	1.837e-20	1.103e-18	17.9573645130965	CSF2
4.94	4.14	1.64086588353901	2.52568334615395	1.155e-02	3.558e-02	1.44873616912577	STEAP1B
14.44	4.12	1.26711614268801	3.25170892547212	1.147e-03	4.954e-03	2.30502491482513	PRSS56
1295.35	4.11	0.278239464339662	14.7685652863656	2.336e-49	2.166e-46	45.6642972964616	CISH
55.83	4.02	0.873130543874694	4.60281762280284	4.168e-06	3.173e-05	4.49858282113604	GNG8
9.56	3.99	1.36490437112548	2.92617252135451	3.432e-03	1.276e-02	1.89418795346238	BACE2
6.18	3.93	1.30982944571944	3.00370413885816	2.667e-03	1.026e-02	1.98869011963487	HOXB9
442.84	3.92	0.217830878774953	17.9768496538247	2.958e-72	1.097e-68	67.9597288234429	LIF
5.46	3.9	1.50117920126558	2.60005208749161	9.321e-03	2.983e-02	1.52539517938569	GPR84
18.81	3.81	0.914110318517218	4.16453820178992	3.120e-05	1.997e-04	3.69969441044983	TEAD4
440.09	3.8	0.298625484386041	12.7097855089141	5.218e-37	2.092e-34	33.6794320811772	IFNG
8.14	3.76	1.2153225394941	3.09455632141387	1.971e-03	7.903e-03	2.10221100755684	MT1G
9852	3.73	0.406004807449865	9.19608636193289	3.712e-20	2.151e-18	17.6673160293312	CCL4
48.29	3.67	0.586461173454041	6.25493192400327	3.977e-10	5.836e-09	8.23391964900197	DRAXIN
93.55	3.6	0.482855451598206	7.44623353495711	9.604e-14	2.427e-12	11.6148860473776	NCS1
124.54	3.58	0.452147760351332	7.91911686558592	2.392e-15	7.664e-14	13.1155260125222	SOCS2
60.67	3.56	1.20720145099739	2.94715531163848	3.207e-03	1.204e-02	1.91930416239464	CHAC1
17.21	3.56	0.773008811212206	4.60169941679949	4.191e-06	3.186e-05	4.49669592247519	LOC100506810
37.76	3.46	0.588312531176033	5.88692721045148	3.934e-09	4.980e-08	7.30275946652905	HBEGF
9.2	3.41	1.19825345293722	2.8446453622095	4.446e-03	1.589e-02	1.79878235630496	GALR2
33.15	3.4	0.557785870874128	6.0903321907527	1.127e-09	1.570e-08	7.8042281803597	SLAMF1
10.86	3.38	1.23391007911788	2.74054901027099	6.134e-03	2.095e-02	1.67878234278614	TGM2
143.47	3.35	0.709217563440057	4.72932364172973	2.253e-06	1.806e-05	4.74318267364586	HPDL
100.17	3.34	0.402501386633101	8.29426129323917	1.093e-16	4.277e-15	14.3688823224836	AGPAT9
8.14	3.27	1.30201956691063	2.51402567838467	1.194e-02	3.652e-02	1.43752126184208	ANKRD20A4
1859.21	3.22	0.384016388683543	8.3919972582226	4.780e-17	1.959e-15	14.7080366853393	LMNA
10.65	3.21	0.964234971960955	3.32589271248801	8.814e-04	3.935e-03	2.40509021240037	KLF1
5.08	3.2	1.34188163239613	2.38820555204197	1.693e-02	4.889e-02	1.31074275779513	IGFBP6
16.1	3.2	1.06724781270231	2.99764205899051	2.721e-03	1.044e-02	1.98139475691095	KYNU
301.42	3.17	0.727713566467707	4.36238134162606	1.287e-05	8.990e-05	4.0462379127079	PTGIR
666.13	3.14	0.435428125305215	7.20179201281675	5.943e-13	1.348e-11	10.8703115498608	PYCR1
4.98	3.13	1.29438609466924	2.41483027536152	1.574e-02	4.602e-02	1.33705715595083	LOC100129534
3980.51	3.12	0.195049682975588	15.9955278260486	1.373e-57	1.852e-54	53.7324669649912	SLC1A5
632.03	3.09	0.470251197376222	6.56269981028345	5.284e-11	8.939e-10	9.04873147413262	CCL4L1
632.03	3.09	0.470251197376222	6.56269981028345	5.284e-11	8.939e-10	9.04873147413262	CCL4L2
40.65	3.06	0.598700428783291	5.11378893553459	3.158e-07	2.963e-06	5.52828698098859	CBS
584.6	3.02	0.274025611769286	11.0068888450033	3.540e-28	4.908e-26	25.3090704616512	NOP16
320.79	3	0.277694292976383	10.8204772048256	2.753e-27	3.462e-25	24.4607251692294	ACTN1
10.9	3	0.965127392031955	3.10442555411448	1.906e-03	7.677e-03	2.11479776879712	DLL3
33.65	2.99	0.683931006578129	4.37569440455127	1.210e-05	8.519e-05	4.06963080766712	SPR
