Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
A1BG	12.1914	3.28045	3.93867	3.23443	9.39985	11.9674	3.23469	4.7465	4.85402	11.4466	9.74501	2.38091	3.19441	3.57234	9.98541
A1BG-AS1	3.71626	1.17536	1.66301	3.79486	1.69794	4.45723	1.49032	1.96561	1.21045	4.12324	3.49993	2.11024	3.53428	2.20131	4.52054
A1CF	0.4625869766076	0.2667984819776	0.1592242147029	0.18144434708263	0.29472196262853	0.36105306244	0.22662551069	0.1130887608712	0.173210311844	0.3062619090392	0.3103042336629	0.203024	0.1365103103723	0.24155195982909	0.2410526288539
A2M	0.342939	0.0299128	0.0399602	0.11692	0.478201	1.36821	0.34314	0.262581	0.149731	1.23207	1.13925	0.280232	0.170346	1.57699	1.55622
A2M-AS1	0.537938	0.131391	0.964571	0	0.701462	1.10861	0.167579	0.384012	0.146075	1.41249	1.13061	0.331174	0.230442	0.0736367	1.37704
A2ML1	0.194151	0.1150832	0.0780596	0.0761777	0.320811	0.0681317	0.173637	0.0678443	0.063751	0.174761	0.447882	0.078908	0.207588	0.0640591	0.274398
A2MP1	0.0687321	0.125927	0	0.0612582	0.337196	0.304284	0	0.146928	0	0.225815	0.309893	0	0	0	0.541195
A4GALT	1.35341	0.413217	0.367671	1.10844	0.367735	0.415111	0.70274	0.322017	0.421092	0	0.931301	0.446339	0.950436	0.50173	1.29812
A4GNT	0	0	0.109815	0	0	0	0	0.0480836	0	0	0	0	0	0	0
AA06	0.291766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	37.1047	32.259433	28.8254	38.99869	24.8366	14.3145734239	21.6537000020734	24.14764	26.3868	21.40608	13.1347	19.15423	21.520546	30.503	12.6175
AACS	24.0856	10.1716	11.405	13.3278	15.8194	13.9846	10.3201	13.5614	12.0193	14.7647	18.1757	15.5727	11.8306	12.9749	13.7052
AACSP1	0.722154	0.198435	0.264861	0.354907	0.529706	1.03648	0.126545	0.309305	0.294145	0.35554	0.975729	0.381069	0.304286	0.185349	0.396636
AADAC	0	0	0	0	0.122257	0.33112	0.116727	0	0	0	0.112497	0	0	0.0512408	0
AADACL2	0	0	0	0	0.131734	0	0.0628725	0	0	0	0.242374	0	0.0755243	0.110369	0
AADACL3	0.0797896	0.0730772	0.0922138	0.107082	0.243469	0.175969	0.0698663	0.0427566	0.0609597	0.22904	0.127232	0.0248726	0	0.0409795	0.124993
AADACL4	0.0510013	0	0	0.045519	0.124884	0.112742	0.0596138	0.218263	0	0.083736	0	0	0.0716197	0	0.240488
AADAT	0.170497	0.209356	0.100777	0.210703	0.302237	0.546581	0.308139	0.0841792	0.120067	0.352523	0.18731	0.0539766	0.1748	0.0822436	0.253965
AAED1	1.47911	0.369534	0	0.359571	0.329788	1.33924	1.02224	0.2156	0.342062	0.883507	1.0609	0.531656	0.0943935	1.10325	0.21172
AAGAB	26.046062	16.10673	17.82541	20.59347	17.714222	16.6068000007328	16.26913	14.0960200086879	18.191810450898	18.55168	10.851930737043	14.98643	13.7845100021256	13.37091	10.833680113998
AAK1	6.27654	2.81984	3.1126	3.40502	4.16281	5.05068	2.70233	2.45859	2.75397	4.42191	6.22779	3.14341	3.25749	3.61693	7.01764
AAMDC	25.7565	12.5158	13.7518	7.40358	12.0974	11.7626	4.12636	3.10524	8.71046	8.68927	13.6915	8.71047	5.74246	10.7577	20.2409
AAMP	84.5907	82.6808	84.1481	111.485	73.772	52.4066	76.7803	82.3747	89.5971	66.954	43.9405	61.8636	74.6536	71.0314	40.5968
AANAT	1.400462	0.454734	0.809058	1.020175	1.532505	2.01014	0.628275	0.983518	0.547523	3.89041	1.11788	0.600076	0.463785	0.6785592	1.350077
AAR2	30.291501	27.777677	19.73611	33.40388	26.573072	23.73638	23.828179	19.259752	23.98343	27.26013	19.04819	19.99518	26.623794	23.80622	20.348542
AARD	0.768632	0.662257	0.710297	0.605905	1.52987	1.30584	0.820114	0.712704	0.674203	1.32525	0.967984	1.20567	0.841742	0.824517	1.69774
AARS	35.2385	24.8686	32.6221	41.6915	23.3908	19.8639	28.8612	28.0615	35.3792	25.9266	15.5638	24.1017	29.0103	37.7266	17.9267
AARS2	6.48693	5.71217	8.57457	7.96956	7.51478	6.52734	6.10692	4.02838	6.42585	6.26439	4.75064	5.48854	5.09803	6.7698	3.9127
AARSD1	41.6624	46.6937	46.7323	54.0875	21.6497	17.2963	33.4747	37.5991	39.7891	20.193	14.6625	28.4253	32.6858	39.2492	11.3625
AASDH	2.60401	1.30089	1.28993	1.15513	1.73391	1.51897	1.60814	0.576563	1.77567	1.76512	1.11409	0.568062	0.725567	1.01682	1.34874
AASDHPPT	14.2405	10.6424	5.64116	10.7955	11.2128	9.92032	7.37997	5.96059	8.77014	12.577	7.78026	7.41597	7.17171	5.67588	8.41108
AASS	1.25652	0.344803	0.818076	0.504539	1.19832	1.34522	0.966832	0.430759	0.589053	1.07703	1.45697	0.565699	0.470186	0.703827	1.42908
AATF	80.2211	78.1479	82.7807	97.7023	49.4197	47.7891	66.2923	56.6355	82.3224	62.2451	47.5794	65.1316	68.7264	66.6538	51.6361
AATK	0.238336	0.109141	0.200487	0.159994	0.290757	0.7882244	0.461981	0.542947	0.576687	0.586331	0.72495	0.432602	0.648749	0.474411	1.09615
AATK-AS1	0.152793	0	0.06223	0.0909131	0.124711	0.112587	0.0595315	0	0	0.167241	0	0.470109	0.0715211	0.0522626	0
ABAT	4.26373	1.019141	0.397637	0.1542842	1.549813	2.091611	0.644294000235951	0.421588	0.479196	3.47125	2.904079	0.86027	0.948685	0.765054	2.906434
ABCA1	0.114009	0.0652576	0.0872118	0.0510538	0.0868613	0.0470989	0.0498912	0.0152843	0.0145216	0.0701021	0.144275	0.0282254	0	0.0292896	0.122617
ABCA10	0.131063	0.0218241	0.180194	0.0640016	0.174373	0.105708	0.111252	0.0513015	0.0121396	0.332168	0.241283	0.0786487	0.0167397	0.0489679	0.150174
