Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
A1BG	270.533	39.7362	71.5156	80.3804	85.235	120.186	61.4229	98.4143	105.8	154.735	96	40.0603	50.4747	77.2375	141.065
A1BG-AS1	100.76	17.3962	36.8828	115.155	18.8274	54.7274	34.5881	49.7739	32.2305	68.1201	42.1389	43.3722	68.2272	58.1374	78.0987
A1CF	57.21304891523	18.01610428215	16.090497388528	25.058137222292	15.103603537109	20.266306521832	24.018734966	13.04270645211	21.02445684378	23.10112690837	17.05955804551	19.0653	12.016900598455	29.072883592125	19.0565184836
A2M	21	1	2	8	12	38	18	15	9	46	31	13	7.42503	94	60.856
A2M-AS1	15	2	22	0	8	14	4	10	4	24	14	7	4.57497	2	24.4695
A2ML1	9.62025	4.113098	4.161821	5.21895	6.51175	2.1178	7.36928	4.136734	3.10099	5.27912	9.86037	4.0961	7.32206	3.09015	8.67917
A2MP1	1	1	0	1	2	2	0	2	0	2	2	0	0	0	5
A4GALT	36	6	8	33	4	5	16	8	11	0	11	9	18	13	22
A4GNT	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
AA06	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	859	406.9998	546	1008.9996	235	149.999724756	429.000000038698	520.0005	600	297.9996	135	333.9998	354.0005	688	186
AACS	1041	240	403	644	280	274	382	547	510	389	349	510	364	546	378
AACSP1	20	3	6	11	6	13	3	8	8	6	12	8	6	5	7
AADAC	0	0	0	0	1	3	2	0	0	0	1	0	0	1	0
AADACL2	0	0	0	0	1	0	1	0	0	0	2	0	1	2	0
AADACL3	4	2	4	6	5	4	3	2	3	7	3	1	0	2	4
AADACL4	1	0	0	1	1	1	1	4	0	1	0	0	1	0	3
AADAT	4.57201	3.06464	2.21057	6.32383	3.31439	6.63726	7.3891	2.10827	3.16196	6.39406	2.23042	1.09723	3.3374	2.14828	4.33926
AAED1	22	3	0	6	2	9	13	3	5	8	7	6	1	16	2
AAGAB	1087.0004	366.0005	596.0004	970	303.9996	313.999500013286	585	549.999700324366	751.0000177083	471	202.0003130975	474.0004	410.000400060531	544	288.99960290942
AAK1	1794.48	440.157	726.983	1086.66	488.342	655.566	662.159	655.272	772.636	771.107	791.547	680.568	662.82	1006.17	1283.04
AAMDC	132	35	58	43	25	27	18	15	44	27	31	34	21	54	65
AAMP	1908	1018	1553	2816	680	535	1482	1736	1985	920	440	1058	1199	1561	583
AANAT	30.00236	6.0018	16.0041	23.00116	14.00369	22.0022	13.0009	17.00092	13.0021	47.69086	12.0005	11	7.00074	15.0015	18.00045
AAR2	967.99957	485.00013	520.0005	1206.001	348.00027	344.9999	654.0003	575.00042	760	533.0003	270.99956	487.9998	606.9995	754	414.99979
AARD	17.2642	8.11975	13.054	15.2405	14.0422	13.2747	15.7632	14.9569	14.8742	18.1334	9.65221	20.5331	13.4624	18.0438	24.2779
AARS	1534	591	1161	2029	417	392	1076	1140	1512	688	301	795	899	1599	498
