Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
A1BG	4.8521	3.89835	2.8629	3.41029	4.30123	6.61305
A1BG-AS1	4.49513	2.54985	3.45383	5.40252	3.46408	3.92789
A1CF	0.34357743882	0.204523	0.37067	0.2861100429891	0.3580052420856	0.6915168989547
A2M	1.93968	1.08492	1.51428	0.349111	2.17691	1.39376
A2M-AS1	1.59405	0.537238	0.821221	0.467042	1.10526	1.05395
A2ML1	0.061078	0.2166688	0.125564	0.1738	0.251915	0.290252
A2MP1	0.660526	0.0793808	0.577739	0	1.10598	0.92082
A4GALT	0.0515004	0	1.84273	0.734454	0.0503781	0.200914
A4GNT	0.0615769	0	0	0.125424	0.0602136	0.240256
AA06	0	0	0.204539	0	0	0
AAAS	22.73654	25.0995	27.8284	28.793909	30.98958	33.3733
AACS	21.6257	18.9668	17.2351	17.252	10.9101	15.6216
AACSP1	0.247291	0.374483	0.455095	0.503828	0.483838	0.578824
AADAC	0.0684623	0	0	0	0.133861	0.133573
AADACL2	0	0	0.075335	0.100135	0	0
AADACL3	0.218335	0.0459228	0	0.0741735	0.427518	0
AADACL4	0	0.176495	0.0714355	0.142416	0.068363	0
AADAT	0.173358	0.0460475	0.46093	0.194331	0.447294	0.462268
AAED1	0.46146	0.776406	1.22443	0.313109	1.53257	1.80121
AAGAB	24.5725	20.23297	28.44001	25.014466	29.6017	29.7719
AAK1	3.93705	2.79847	4.76651	3.62204	6.17218	6.04527
AAMDC	13.7749	10.2304	17.513	14.7961	13.6323	16.3612
AAMP	53.1061	49.4316	70.2275	59.3668	90.0191	81.7906
AANAT	0.956507	0.4763631	0.899106	0.692776	0.84636	1.767495
AAR2	25.67596	24.107159	38.907903	30.81801	48.316888	39.58789
AARD	0.68674	0.205006	1.03489	0.612308	0.88643	1.20453
AARS	40.427	39.2754	45.8354	81.628	44.036	65.2882
AARS2	5.26687	5.85623	7.693	6.7232	7.83715	9.49696
AARSD1	15.5596	21.5636	18.2273	21.8621	23.5835	23.8108
AASDH	0.618402	0.520279	1.41626	0.780284	1.78736	2.1247
AASDHPPT	9.9498	8.30489	11.0833	9.36751	16.9746	20.1869
AASS	0.797192	0.653177	1.30863	1.2799	1.84421	2.28989
AATF	50.2453	43.1591	53.3725	51.4568	67.0931	83.306
AATK	1.07979	0.891327	1.24149	0.678389	1.35669	0.993105
AATK-AS1	0	0.0587504	0.142674	0.14222	0.409612	0.272505
ABAT	2.120372	1.023334	2.63889	0.963421	3.908862	3.022842
ABCA1	0.00974041	0.0163902	0.0698288	0.072826	0.104964	0.151914
ABCA10	0.0488776	0.0822457	0.116768	0.08858	0.41489	0.381187
ABCA11P	2.71922	2.94409	2.4911	2.10705	5.61412	4.8408
ABCA12	0.0635001	0.0473801	0.247094	0.1122116	0.186604	0.0742803
