Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
A1BG	78.5573	75.0228	45.3597	81.3218	71.2156	54.8821
A1BG-AS1	88.9743	59.991	66.8685	157.462	70.0913	39.8582
A1CF	31.083083204	22.0476	33.0753	38.0849782898	33.06542291175	32.086410910817
A2M	86.8353	57.7289	66.2288	23	99.5242	32
A2M-AS1	32.4511	13	16.3516	14	23	11
A2ML1	3.0602	10.32662	6.14557	12.8142	9.31858	5.39058
A2MP1	7	1	6	0	12	5
A4GALT	1	0	35	21	1	2
A4GNT	1	0	0	3	1	2
AA06	0	0	1	0	0	0
AAAS	383.0001	504	460	714.9998	532.0003	289
AACS	683	712	532	802	352	253
AACSP1	5	9	9	15	10	6
AADAC	1	0	0	0	2	1
AADACL2	0	0	1	2	0	0
AADACL3	8	2	0	4	16	0
AADACL4	0	3	1	3	1	0
AADAT	3.39361	1.07145	8.82595	5.6017	8.95104	4.63922
AAED1	5	10	13	5	17	10
AAGAB	752	736	848.0004	1122.9999	926	464.9999
AAK1	823.649	695.843	973.464	1114.71	1317.84	648.759
AAMDC	51	45	64	81	52	31
AAMP	874	967	1131	1439	1515	690
AANAT	15.0033	9.00111	11.00152	18.0027	13.00199	14.0043
AAR2	603.9995	668.99952	887.99992	1065.0001	1153.0001	478.0002
AARD	11.2545	3.99353	16.5967	14.7794	14.8557	10.1188
AARS	1286	1485	1425	3822	1431	1065
AARS2	242.512	320.5	346.05	455.563	368.511	224.267
AARSD1	190	313	218	393.359	294.712	149
AASDH	21	21	47	39	62	37
AASDHPPT	268.937	266.815	292.856	372.729	468.795	279.781
AASS	45.2999	44.1157	72.6338	107.02	107.003	66.738
AATF	1000	1021	1039	1508	1365	850
AATK	53	53	59.5274	50	68	25
AATK-AS1	0	1	2	3	6	2
ABAT	102	59	125.99997	69	192.0003	74
ABCA1	1	2	7	11	11	8
ABCA10	3	6	7	8	26	12
ABCA11P	47.4973	61.1265	42.5735	54.2024	100.268	43.3452
ABCA12	5	5	19	14	16	3
ABCA13	39.2906	22.6041	44.8817	51.4516	61.0424	47.5933
ABCA17P	7	2	13	16	15	9
ABCA2	493.000008	540	341.000000092599	608	328.0001	225.000000391443
ABCA3	121	160	80	189	74	38
ABCA4	3	2	5	10	5	4
ABCA5	125.90575	87.34196	135.01667	126.1531	213.667	83.9757
ABCA6	3	1	4	4	3	4
ABCA7	701	567	811	887	768	442
ABCA8	3	0	3	3	3	0
ABCA9	32.4289	21.9993	68.5852	74.1203	76.6979	55.5876
ABCB1	218.971	181	323	299.937	418	196.994
ABCB10	109	105	112	119	134	88
ABCB11	1	1	0	2	1	0
ABCB4	1.02899	0	3	3.06255	0	1.0063
ABCB5	20.48976	19.57132	55.0861	45.98927	66.69801	29.3632
ABCB6	46	53	67	135	110	95
ABCB7	145.99992	118	122	136	237.9997	105.999571
ABCB8	192	204	404	487	439	211
ABCB9	32.000043	37	29	59.0000293687	37	26.000045
ABCC1	249	312	278	542	401	258
ABCC10	472.9998	577	556.0004	782	719.0004	309.0002
ABCC11	2	3	6	10.0000000152951	3	8
ABCC12	1	1	3	9	2	4
ABCC13	10.639	5.25365	10.0083	12.0379	11.1838	6.14487
ABCC2	4	1	14	10	10	2
ABCC3	5	4	8	40.00003	6	15
ABCC4	91.1849	169.048	98.3033	213.3714	100.6214	101.5236
ABCC5	126.0002	164.9996	198.0003	223.9997	213.0001	122.9997
ABCC5-AS1	1	1	1	3	2	0
ABCC6	3.000004	3	9.27268	5.68122	6.46862	2.43408
ABCC6P1	1	0	3.72732	2.31878	0	4.56592
ABCC6P2	0	0	0	1	3.53139	0
ABCC8	2	4	7	5	2	5
ABCC9	278.17	233.985	580.475	700.579	618.29	391.362
ABCD1	85	68	68	82	63	30
ABCD2	7	19	9	10	11	17
ABCD3	208.81189	261.6122	215.942	286.3657	311.513	154.3687
ABCD4	321.0004	312	410	441	525	201.000000033065
ABCE1	299.5928	453.4923	357.6338	565.066	396.453	393.4613
ABCF1	1073.0042	952	1293	1559.998561	1866.00282045	699.000000031754
ABCF2	678.9367	760.2317	762.0228	998.3219	1053.1302	631.5282
ABCF3	304	275	415	414	468	239
ABCG1	12	12	16	33.00003586406	38.99996	7
ABCG2	16	19	34	16.00003	5	9
ABCG4	6	2	4	10	6	3
ABCG5	2	0	3	2	4	2
ABCG8	3	1	2	3	2	1
ABHD1	2	1	1	4	3	0
ABHD10	275.00026	270.9999	225.0003	366.0002	209.99956	219.9995
ABHD11	172.129	165.9306	148.598	210.5328	221.0603	107.3265
ABHD12	219	235.99974	187.00017	347.00045	264.00033	104.99989
ABHD12B	30	25	41	43	40	26
ABHD13	134	107	169	167	200	140
ABHD14A	187.281	200.709	191.997	257.405	224.702	152
ABHD14A-ACY1	45.6742	51.5713	0.0145229	49.366	54.8169	0
ABHD14B	372.9996	405.0001	478.9995	423.9998	547.9999	213.9996
ABHD15	143.356	104.229	241.607	229.905	257.916	77.7069
ABHD16A	682.0008	823.9999	757.999500527254	1246.9968	962	462.0002
ABHD16B	60	56	50	48	67	16
ABHD2	881.6814	746.5041	851.078	1002.195	1006.425	493.0966
ABHD3	393	423	445	633	661	364
ABHD4	158	64	208	173	295	97
ABHD5	106	101	160.842	147.042	186.482	86
ABHD6	17	9	14	24	15	9
ABHD8	8	24	13	9	34	7
ABI1	395.99983	394.00054	616.0001	572.0001	729.99990001193	387.99994
ABI2	306.619	383.264	330.734	534.618	447.626	308.263
ABI3	2184.4409	1950.1633	2539.999	2450.948	2858.486	1255.8238
ABI3BP	2	1	6	0	4	2
ABL1	177.0004	148	278.0002	253.0001	389.9998	146.9995
ABL2	75.9148773	91.1393955	112.3514938	123.868818	214.2727902529	91.3717443
ABLIM1	431.13020744715	402.38209	367.154	370.52908	362.987	159.994161
ABLIM2	9	1	1	15	16	8
ABLIM3	1	1	3	7	1	1
ABO	1	0	2	0	3	2
ABP1	2	0	7	9	0	2
ABR	666.0009	616.0007	670.0007	844.9998	735.0002	398.0004
ABRA	7.45609	7.59097	13.4478	12.1713	29.4675	18.7006
ABRACL	705	873	759	1227	670	356
ABT1	660	879	770	1011	963	424
ABTB1	145	103	136	98	259.0004	73.000025075
ABTB2	5	13	19	11	25	15
ACAA1	699.0003	826.0005	749	1105.999	806.0002	430.9999
ACAA2	2808	3075	3191	5400	3589	1643
ACACA	215.19779	222.3939920616	241.77974	283.96275	270.12891	149.06636
ACACB	17.1015	26.506	84.3205	58.112	86.4021	38.6849
ACAD10	172.9996	203.9997	180.0003	249	299.0004	144
ACAD11	85.3478	110.186	130.627	150.655	157.731	119.868
ACAD8	182	169	259	222	315	131
ACAD9	401.9997	361.0004	443	622	489	296.9996
ACADL	0	0	1	3	0	3
ACADM	291.0001	254	387.9999	465.0002	461	309.0002
ACADS	251	303	229	256	237	103
ACADSB	276.873	250.521	416.227	494.242	506.03	280.616
ACADVL	1138.0011	1078.98480239894	1548.939038	1788.97671	1931.00227718	880.9226
ACAN	1	4	9	21	12	2
ACAP1	4134	4195	3517	5353	3910	1837
ACAP2	533.883	431.657	601.699	552.141	670.948	284.358
ACAP3	70	81	53	79	53	24
ACAT1	352	530	294	717	253	186
ACAT2	1161.19	1518.43	1065.44	1799.49	1012.62	548.836
ACBD3	79	78	77	129	128	42
ACBD4	72.4006	97.649	98.3505	97.54947	131.0409	52.07153
ACBD5	240.5543	218.789	291.7778	411.7509	333.502918	258.62322
ACBD6	369	384	384	565	456	251
ACBD7	102.114	50.7473	189.355	172.332	198.756	131.372
ACCS	102	74	102	77	46	10
ACCSL	0	0	2	3	2	1
ACD	297.9998	330.00008	289.9998	460	370.0005	167
ACE	3	4	7	11	5	3.000002
ACE2	0	0	1	1	10	0
ACER1	4	1	2	19	4	3
ACER2	4	6	13	9	17	12
ACER3	55.2475	73.7204	91.3546	90.404	94.7202	68.3819
ACHE	0	2	6	6	4.000002	3
ACIN1	340.8088	430.895889375	401.5984	629.0257	565.341261788	315.7462
ACLY	1654.004	1931.996	2111.995	2357.996	2091.998	1193.9955
ACMSD	0	1	6	2	1	0
ACN9	99	89	87	104	106	59
ACO1	173	175	313	176	362	189
ACO2	1105.37	1198.35	1067.2	1881.37	1362.57	658.906
ACOT1	44.7258	37.685	19.3534	37.688	28.4884	13.4067
ACOT11	26.42273	44.80886	22.7318	64.50901	37.359	23
ACOT12	0	0	1	5	1	0
ACOT13	226.549	199.521	244.73202	357.142	331.131	137.81486
ACOT2	288.2746	301.31516	305.64683	430.3122	355.5114	155.59357
ACOT4	202	148	198	195	197	65
ACOT6	1	0	0	1	0	0
ACOT7	1315.90670109877	1574.9345001263	989.715	2070.8512	937.65170262095	656.9448
ACOT8	332.12	286.288	310.386	488.805	431.824	120.366
ACOT9	247.99992	295.99978	292.0001	454.9997	342.9999	181
ACOX1	347.969	331.6711	419.3076	542.7257	572.0995	259.9665
ACOX2	0	0	2	5	6	3
ACOX3	125	153.0001	121	191.9995	221.9999	88.00001695
ACOXL	3	6	5	8	6	8
ACP1	846.99985	911.9998	1059	1298.0027	1725.0011	731.0003
ACP2	263	286.00032	263.663	423.99958	263.00027	176
ACP5	301.0006	121	577.0005	237	619	141.99995
ACP6	54	37	87	101	100	31
ACPL2	54	26.00003	52	39	60	14
ACPP	10.1975	4.00873	20.43	13.4757	10.1589	13.3031
ACPT	4	1	7	3	2	4
ACR	0	0	1	3	0	0
ACRBP	2	3	6	2	9	2
ACRC	17	17	26	40	23	20
ACRV1	10	4	5	5	16	3
ACSBG1	1.9999972	1.0000002	4.0000048	4.0000047	9.999999	5.000001
ACSBG2	8	3	8	13	17	16
ACSF2	98	49	124	105	86	53
ACSF3	337.0009	331.999810061884	370.000350048195	569.00018792289	393.00028	145.00023
ACSL1	62	67	91	119	205	105
ACSL3	214	271.0001	286	238.9996	425	219.0002
ACSL4	172.9999	194.9997	157.9996	237.9996	256	165
ACSL5	626	617.0004	909.9999	996.0004	866.9995	553.9999
ACSL6	92.013618129	34.98915498044	75.58585404	63.18188	41.6746000261814	16.41700035121
ACSM1	1	0	1	3	1	0
ACSM2A	1	0	6	2.42418	11.9645	1.15638
ACSM2B	0	1	0	3.57582	2.03547	1.19884
ACSM3	10	5	21.000047841	11	19.2769	4
ACSM4	1	0	2	2	4	1
ACSM5	0	0	5	7	3	0
ACSS1	181.0001	110.00000247422	252.000200596287	127	281.0002	82
ACSS2	33	22.9999543706	34.000000347957	16	37	15
ACSS3	7.13156	0	11.3144	10.2417	10.2117	13.1799
ACTA1	81.0218	253.281	116.037	141.03	100.873	48.0141
ACTA2	262.00026	136	276	319	466	236.0001
ACTB	691255	834523	693253	951782	748503	374572
ACTBL2	0	1	5	2	2	2
ACTC1	1.01878	0	1.00002	5.00009	1.00005	0
