target_id	length	eff_length	est_counts	tpm
HER2-CAR-GFP	2172	2044.01	5417	228.61
NM_001103170	4049	3921.01	0	0
NM_001103169	3832	3704.01	3	0.0698663
NM_001013630	1575	1447.01	1	0.0596138
NM_000350	7325	7197.01	3	0.0359574
NM_012089	3857	3729.01	142	3.28484
NM_002858	3616	3488.01	89.1764	2.20542
NM_001122674	967	839.013	20.7069	2.12895
NM_005158	11940	11812	0	0
NM_001136001	2140	2012.01	0	0
NM_001168237	11918	11790	0.230413	0.00168582
NM_007314	12227	12099	0	0
NM_001136000	11631	11503	7.04141e-05	5.2804e-07
NM_001168236	12164	12036	0	0
NM_001168238	11855	11727	66.0221	0.485647
NM_001168239	11568	11440	0.0232443	0.000175271
NM_000016	2603	2475.01	295.835	10.3108
NM_001127328	2615	2487.01	9.16526	0.317897
NM_030649	3759	3631.01	138	3.27846
NM_022735	3565	3437.01	118	2.96156
NM_032360	1616	1488.01	417	24.174
NM_147161	3181	3053.01	28.4639	0.804239
NM_015547	2015	1887.01	0	0
NM_181865	1430	1302.01	0.000381222	2.5257e-05
NM_181866	1414	1286.01	1188.45	79.7177
NM_181864	1625	1497.01	0	0
NM_007274	1805	1677.01	537.444	27.6449
NM_016361	1808	1680.01	25	1.28365
NM_001100	1492	1364.01	73.0179	4.61774
NR_024438	1983	1855.01	0	0
NM_030812	1861	1733.01	0	0
NM_001103	4528	4400.01	0	0
NM_080431	1422	1294.01	0	0
NM_207191	2764	2636.01	108.967	3.56588
NM_001261464	2864	2736.01	0	0
NM_207197	2981	2853.01	20.9597	0.633725
NM_001261465	2836	2708.01	0	0
NM_207195	2906	2778.01	0	0
NR_048579	3048	2920.01	21.9588	0.648699
NM_207194	2909	2781.01	39.7473	1.23289
NM_207196	2978	2850.01	0	0
NR_048578	3123	2995.01	134.196	3.86508
NM_001261466	2226	2098.01	0	0
NM_003815	2834	2706.01	83.1718	2.65134
NR_048577	3120	2992.01	2.23128e-08	6.43294e-10
NM_021794	2992	2864.01	1	0.0301193
NM_005099	4332	4204.01	55.7761	1.14447
NM_025008	2893	2765.01	4.77215	0.14888
NM_019032	4201	4073.01	6.22785	0.131899
NM_001025107	6540	6412.01	932.132	12.5401
NM_015840	6593	6465.01	299.62	3.9978
NM_001193495	6709	6581.01	506.427	6.6381
NM_015841	6536	6408.01	126.254	1.69958
NM_001111	6671	6543.01	0.159232	0.00209928
NM_052998	2182	2054.01	7	0.293977
NM_020247	2924	2796.01	195	6.01609
NM_018417	5421	5293.01	3	0.048892
NM_001167749	4966	4838.01	0	0
NR_046083	2128	2000.01	0	0
NM_015999	2175	2047.01	959	40.4126
NM_000674	2919	2791.01	0	0
NM_001048230	2764	2636.01	1	0.0327244
NM_000677	2245	2117.01	2	0.081494
NM_020683	2150	2022.01	0	0
NM_001081976	1163	1035.01	0	0
NM_017825	1691	1563.01	725	40.0124
NM_001126	2782	2654.01	638	20.7366
NM_032785	2988	2860.01	2.01537	0.0607863
NM_000646	7182	7054.01	31.083	0.380106
NM_000028	7449	7321.01	5.71641	0.0673553
NM_000643	7169	7041.01	0	0
NM_000644	7109	6981.01	0	0
NM_000642	7371	7243.01	54.2006	0.645512
NM_000645	7182	7054.01	0	0
NM_024758	3154	3026.01	267.032	7.61224
NM_012199	7478	7350.01	587	6.88921
NM_024852	3645	3517.01	85	2.0848
NM_177422	3387	3259.01	0	0
NM_017629	7060	6932.01	75.5888	0.940626
NM_198576	7326	7198.01	96	1.15048
NM_000029	2581	2453.01	0	0
NM_020350	1183	1055.01	651.679	53.2838
NM_001040195	1127	999.013	69.1515	5.97104
NM_001040197	1280	1152.01	48.6047	3.63948
NM_001040194	1162	1034.01	80.1986	6.69052
NM_001040196	1259	1131.01	27.3664	2.08723
NM_015446	8631	8503.01	157.57	1.59852
NM_001242673	4314	4186.01	8.60603	0.177346
NM_001242676	4028	3900.01	0	0
NM_001242675	4039	3911.01	0	0
NM_006621	3943	3815.01	99.1731	2.24242
NM_001242674	3685	3557.01	307.221	7.45048
NM_001029882	6496	6368.01	409	5.54037
NM_022831	3006	2878.01	156	4.67575
NM_001039775	5245	5117.01	9	0.151721
NM_004833	1484	1356.01	7	0.445301
NM_001042478	2070	1942.01	1	0.0444188
NM_018836	2923	2795.01	0	0
NM_001625	2759	2631.01	134.286	4.40278
NR_037592	2877	2749.01	0.000220174	6.9089e-06
NM_013411	3671	3543.01	1769.1	43.0724
NM_001199199	3647	3519.01	0	0
NR_037591	3789	3661.01	32.8612	0.774286
NM_013410	6881	6753.01	37.6415	0.480827
NM_001005353	6998	6870.01	0	0
NM_203464	6887	6759.01	0	0
NM_012093	3936	3808.01	0	0
NM_174858	3325	3197.01	1	0.026982
NM_024595	2726	2598.01	431.255	14.319
NM_001136275	2591	2463.01	0	0
NM_152763	3063	2935.01	0	0
NR_049760	2912	2784.01	1	0.0309847
NM_006066	1580	1452.01	211.599	12.5708
NM_153326	1452	1324.01	101.585	6.61844
NM_001202414	1491	1363.01	96.9596	6.13635
NM_001202413	1363	1235.01	472.857	33.0277
NM_003689	2619	2491.01	1024.06	35.4624
NR_002796	1324	1196.01	2	0.144249
NM_012067	1241	1113.01	2.04328	0.158361
NR_040289	2117	1989.01	22.2851	0.966485
NR_040288	2314	2186.01	0	0
NM_005465	7082	6954.01	56.943	0.706356
NM_181690	1734	1606.01	0	0
NM_001206729	1575	1447.01	2.75448	0.164205
NM_170726	2370	2242.01	0	0
NM_001161504	3243	3115.01	63.7499	1.76538
NM_003748	3383	3255.01	23.2501	0.616157
NM_000696	2500	2372.01	530	19.2743
NM_144988	1057	929.013	32	2.97131
NM_013339	3371	3243.01	121	3.21852
NM_001127501	2431	2303.01	0	0
NM_000478	2596	2468.01	0	0
NM_001177520	2315	2187.01	1	0.0394428
NM_006492	1478	1350.01	5	0.319486
NM_020703	2471	2343.01	0	0
NM_001172626	2394	2266.01	1.99246	0.0758486
NM_000036	2406	2278.01	0.00753592	0.000285364
NM_001257361	3392	3264.01	218.94	5.78619
NM_139156	3756	3628.01	199.292	4.7385
NM_203404	3394	3266.01	84.6462	2.23568
NM_004037	3976	3848.01	12.2404	0.274396
NM_001257360	4109	3981.01	59.8808	1.29752
NM_004038	1862	1734.01	0	0
NM_001008221_2	1781	1653.01	0	0
NM_004038_2	1862	1734.01	0	0
NM_004038_1	1862	1734.01	0	0
NM_001008221	1781	1653.01	0	0
NM_001008221_1	1781	1653.01	0	0
NM_001008218	1838	1710.01	0	0
NM_001008218_1	1838	1710.01	0	0
NM_001008218_2	1838	1710.01	0	0
NM_001008219	1860	1732.01	0	0
