target_id	length	eff_length	est_counts	tpm
NM_001103170	4049	3920.74	0	0
NM_001103169	3832	3703.74	4	0.0741735
NM_001013630	1575	1446.74	3	0.142416
NM_000350	7325	7196.74	10	0.0954319
NM_012089	3857	3728.74	119	2.19187
NM_002858	3616	3487.74	241.485	4.75527
NM_001122674	967	838.741	44.8807	3.67504
NM_005158	11940	11811.7	0	0
NM_001136001	2140	2011.74	4.29902	0.146766
NM_001168237	11918	11789.7	0.199094	0.0011598
NM_007314	12227	12098.7	0	0
NM_001136000	11631	11502.7	0.192104	0.001147
NM_001168236	12164	12035.7	0	0
NM_001168238	11855	11726.7	56.4473	0.330594
NM_001168239	11568	11439.7	62.7313	0.376615
NM_000016	2603	2474.74	410.688	11.3976
NM_001127328	2615	2486.74	54.3122	1.50002
NM_030649	3759	3630.74	79	1.49438
NM_022735	3565	3436.74	129	2.57794
NM_032360	1616	1487.74	565	26.0826
NM_147161	3181	3052.74	61.5789	1.38539
NM_015547	2015	1886.74	2.93011	0.10666
NM_181865	1430	1301.74	67.6721	3.57038
NM_181866	1414	1285.74	1184.01	63.2458
NM_181864	1625	1496.74	28.0851	1.28872
NM_007274	1805	1676.74	791.084	32.4031
NM_016361	1808	1679.74	101	4.1296
NM_001100	1492	1363.74	141.03	7.10245
NR_024438	1983	1854.74	8.03068	0.297371
NM_030812	1861	1732.74	3	0.11891
NM_001103	4528	4399.74	3	0.0468299
NM_080431	1422	1293.74	0	0
NM_207191	2764	2635.74	0	0
NM_001261464	2864	2735.74	0	0
NM_207197	2981	2852.74	13.0366	0.313857
NM_001261465	2836	2707.74	0	0
NM_207195	2906	2777.74	25.4593	0.629484
NR_048579	3048	2919.74	2.07376e-07	4.87802e-09
NM_207194	2909	2780.74	21.777	0.537858
NM_207196	2978	2849.74	0.000239179	5.76432e-06
NR_048578	3123	2994.74	27.2837	0.62571
NM_001261466	2226	2097.74	0	0
NM_003815	2834	2705.74	29.004	0.736208
NR_048577	3120	2991.74	94.4391	2.16799
NM_021794	2992	2863.74	1	0.0239826
NM_005099	4332	4203.74	66.0834	1.07966
NM_025008	2893	2764.74	9.65885	0.239939
NM_019032	4201	4072.74	9.34115	0.157523
NM_001025107	6540	6411.74	1263.48	13.5339
NM_015840	6593	6464.74	183.977	1.95453
NM_001193495	6709	6580.74	1147.75	11.9785
NM_015841	6536	6407.74	0.000136086	1.45861e-06
NM_001111	6671	6542.74	0.0004589	4.81712e-06
NM_052998	2182	2053.74	11	0.367855
NM_020247	2924	2795.74	118	2.89877
NM_018417	5421	5292.74	0	0
NM_001167749	4966	4837.74	6	0.0851801
NR_046083	2128	1999.74	110.827	3.80628
NM_015999	2175	2046.74	1819.17	61.0437
NM_000674	2919	2790.74	7	0.172269
NM_001048230	2764	2635.74	0	0
NM_000677	2245	2116.74	0	0
NM_020683	2150	2021.74	0	0
NM_001081976	1163	1034.74	3	0.199122
NM_017825	1691	1562.74	1025	45.047
NM_001126	2782	2653.74	954	24.6899
NM_032785	2988	2859.74	10.0564	0.241516
NM_000646	7182	7053.74	24.6552	0.24006
NM_000028	7449	7320.74	0	0
NM_000643	7169	7040.74	0	0
NM_000644	7109	6980.74	0	0
NM_000642	7371	7242.74	98.16	0.93081
NM_000645	7182	7053.74	5.18472	0.0504819
NM_024758	3154	3025.74	201.871	4.58218
NM_012199	7478	7349.74	770	7.19529
NM_024852	3645	3516.74	234.975	4.58892
NM_177422	3387	3258.74	16.0252	0.33774
NM_017629	7060	6931.74	172.124	1.70541
NM_198576	7326	7197.74	35	0.333965
NM_000029	2581	2452.74	4	0.112005
NM_020350	1183	1054.74	1609.64	104.812
NM_001040195	1127	998.741	152.329	10.4751
NM_001040197	1280	1151.74	264.243	15.7572
NM_001040194	1162	1033.74	335.217	22.2712
NM_001040196	1259	1130.74	32.5727	1.97843
NM_015446	8631	8502.74	220.439	1.78057
NM_001242673	4314	4185.74	0	0
NM_001242676	4028	3899.74	0	0
NM_001242675	4039	3910.74	0	0
NM_006621	3943	3814.74	88.7149	1.59721
NM_001242674	3685	3556.74	216.285	4.17642
NM_001029882	6496	6367.74	139	1.4992
NM_022831	3006	2877.74	212	5.05957
NM_001039775	5245	5116.74	59	0.791932
NM_004833	1484	1355.74	2	0.101317
NM_001042478	2070	1941.74	0	0
NM_018836	2923	2794.74	5	0.122873
NM_001625	2759	2630.74	123.309	3.21918
NR_037592	2877	2748.74	0.977051	0.0244125
NM_013411	3671	3542.74	2071.23	40.153
NM_001199199	3647	3518.74	0	0
NR_037591	3789	3660.74	82.6061	1.54979
NM_013410	6881	6752.74	30.0226	0.30535
NM_001005353	6998	6869.74	12.5263	0.125231
NM_203464	6887	6758.74	15.4511	0.157009
NM_012093	3936	3807.74	5	0.0901845
NM_174858	3325	3196.74	0	0
NM_024595	2726	2597.74	330.182	8.72944
NM_001136275	2591	2462.74	0	0
NM_152763	3063	2934.74	1.94726	0.0455705
NR_049760	2912	2783.74	2.05274	0.0506447
NM_006066	1580	1451.74	237.489	11.2353
NM_153326	1452	1323.74	224.564	11.6511
NM_001202414	1491	1362.74	186.656	9.40713
NM_001202413	1363	1234.74	388.291	21.5979
NM_003689	2619	2490.74	1569.17	43.2685
NR_002796	1324	1195.74	10	0.574371
NM_012067	1241	1112.74	3.55885	0.219657
NR_040289	2117	1988.74	35.4338	1.22368
NR_040288	2314	2185.74	19.5826	0.61532
NM_005465	7082	6953.74	100.434	0.991955
NM_181690	1734	1605.74	0	0
NM_001206729	1575	1446.74	0	0
NM_170726	2370	2241.74	0	0
NM_001161504	3243	3114.74	41.7959	0.921597
NM_003748	3383	3254.74	106.204	2.24106
NM_000696	2500	2371.74	926	26.8147
NM_144988	1057	928.741	34	2.51428
NM_013339	3371	3242.74	296	6.26915
NM_001127501	2431	2302.74	4	0.119301
NM_000478	2596	2467.74	0	0
NM_001177520	2315	2186.74	0	0
NM_006492	1478	1349.74	14	0.712372
NM_020703	2471	2342.74	2	0.0586321
NM_001172626	2394	2265.74	1.99239	0.0603939
NM_000036	2406	2277.74	0.00761058	0.000229479
NM_001257361	3392	3263.74	193.57	4.07334
NM_139156	3756	3627.74	248.65	4.7074
NM_203404	3394	3265.74	19.6834	0.413949
NM_004037	3976	3847.74	0	0
NM_001257360	4109	3980.74	41.0972	0.709052
NM_004038	1862	1733.74	5.54795e-07	2.19775e-08
NM_001008221_2	1781	1652.74	0	0
NM_004038_2	1862	1733.74	5.54795e-07	2.19775e-08
NM_004038_1	1862	1733.74	5.54795e-07	2.19775e-08
NM_001008221	1781	1652.74	0	0
NM_001008221_1	1781	1652.74	0	0
NM_001008218	1838	1709.74	1.33333	0.0535596
NM_001008218_1	1838	1709.74	1.33333	0.0535596
NM_001008218_2	1838	1709.74	1.33333	0.0535596
NM_001008219	1860	1731.74	1.87276e-06	7.42727e-08
NM_001008219_2	1860	1731.74	1.87276e-06	7.42727e-08
NM_001008219_1	1860	1731.74	1.87276e-06	7.42727e-08
NM_000699	1632	1503.74	3.58936	0.163936
NM_020978	2179	2050.74	3.41064	0.114223
NM_144567	4649	4520.74	211.005	3.20563
NM_004673	3546	3417.74	2	0.0401902
NM_014495	2126	1997.74	5	0.171894
NM_021146	2238	2109.74	12	0.390644
NM_030816	5667	5538.74	514	6.37355
NR_046228	1744	1615.74	11	0.467574
NM_001039888	3612	3483.74	7	0.138001
NM_144698	3363	3234.74	140	2.97247
NR_026844	1850	1721.74	309.54	12.3475
NM_198493	2671	2542.74	13.7381	0.371067
NM_001145210	2192	2063.74	3.68525	0.122643
NM_001243536	1632	1503.74	24.4455	1.11649
NM_001243535	1651	1522.74	4.37256e-05	1.97215e-06
NM_001136479	3129	3000.74	337.123	7.71595
NM_030920	3453	3324.74	4726.62	97.6389
NM_001136478	3330	3201.74	216.252	4.63878
NM_003568	1824	1695.74	26	1.05304
NM_006594	2790	2661.74	43.451	1.12115
NM_001253852	2722	2593.74	293.196	7.76356
NM_001253853	2662	2533.74	17.7739	0.481781
NR_037864	1734	1605.74	48.8535	2.08953
NM_001639	931	802.741	1	0.0855567
NM_016022	2266	2137.74	394.595	12.6773
NM_001243771	2095	1966.74	118.27	4.13005
NR_045035	2192	2063.74	0	0
NR_045033	2130	2001.74	92.0461	3.15811
NM_001243772	1718	1589.74	0	0
NM_001077628	1928	1799.74	208.089	7.94089
NR_045034	2021	1892.74	0	0
NR_036462	1431	1302.74	134.825	7.10789
NM_199294	1243	1114.74	96.6574	5.95512
NR_037187	1349	1220.74	0	0
NM_199006	1252	1123.74	11.2308	0.686396
NM_001243768	1383	1254.74	0	0
NM_198544	1319	1190.74	15.0152	0.866049
NM_001270517	1496	1367.74	65.4847	3.28826
NM_144772	1121	992.741	736	50.918
NM_001643	473	345.056	2	0.39808
NM_203454	2778	2649.74	0	0
NM_080429	1791	1662.74	7	0.289136
NM_001658	1888	1759.74	13975.8	545.455
NM_001024227	2007	1878.74	67.0966	2.4528
NM_001024228	1985	1856.74	0	0
NM_001024226	1973	1844.74	96.0661	3.57655
NM_004815	9117	8988.74	12	0.0916878
NM_001025598	4425	4296.74	6235.56	99.6703
NM_181720	3792	3663.74	150.439	2.8201
NM_001011722	4261	4132.74	11	0.182803
NM_018125	4494	4365.74	0	0
NM_014784	6769	6640.74	14	0.144791
NM_198236	6889	6760.74	8.87917e-08	9.02002e-10
NM_014448	2904	2775.74	2	0.0494858
NM_153213	3029	2900.74	169	4.00136
NM_001162384	4179	4050.74	123.238	2.08949
NM_004723	4107	3978.74	6.83662e-05	1.18012e-06
NM_001162383	4182	4053.74	530.762	8.99235
NM_006015	8585	8456.74	779.423	6.32994
NM_139135	7934	7805.74	141.577	1.24568
NM_001206794	5946	5817.74	0	0
NM_031371	5809	5680.74	596.672	7.21373
NM_016374	6067	5938.74	194.328	2.24735
NM_001256129	1727	1598.74	25	1.07397
NM_138795	1795	1666.74	0	0
NM_001197325	4839	4710.74	25.1333	0.366429
NM_178427	4842	4713.74	96.5532	1.40679
NM_001668	4887	4758.74	402.313	5.80633
NM_005717	2077	1948.74	6473.65	228.152
NM_001270439	2086	1957.74	33.3544	1.17011
NM_057090	1944	1815.74	0	0
NM_057091	1920	1791.74	0	0
NM_001136215	1795	1666.74	0	0
NM_022786	1445	1316.74	182	9.49294
NM_017707	4129	4000.74	0.00317708	5.45402e-05
NM_001143778	4102	3973.74	3.99682	0.0690788
NR_026546	1045	916.741	0	0
NM_080868	1107	978.741	0	0
NM_001270601	1420	1291.74	0	0
NM_018489	11774	11645.7	401.301	2.36664
NR_027023	1964	1835.74	35.8088	1.3397
NM_018136	10888	10759.7	1096.46	6.99872
NM_001206846	6133	6004.74	137.545	1.57318
NM_004319	7314	7185.74	0	0
NM_207108	3885	3756.74	3	0.0548453
NM_001170536	2332	2203.74	307.814	9.59305
NM_018188	2646	2517.74	43.8931	1.19733
NM_001170535	2502	2373.74	210.959	6.10372
NM_031921	2433	2304.74	216.081	6.43909
NM_001039211	3859	3730.74	95.7211	1.76215
NM_001206486	1997	1868.74	12.2371	0.449739
NM_001040619	2387	2258.74	0.200669	0.0061016
NM_001206488	2052	1923.74	0	0
NM_001206484	2035	1906.74	0	0
NM_001674	2075	1946.74	183.562	6.47596
NM_001030287	1922	1793.74	0	0
NM_007348	7546	7417.74	625.167	5.78834
NM_032852	2724	2595.74	29.7398	0.786875
NM_178221	2676	2547.74	40.2602	1.0853
NM_022089	3996	3867.74	232.272	4.12447
NM_001141974	3694	3565.74	21.2428	0.409157
NM_001141973	3981	3852.74	197.486	3.52042
NM_001160233	3765	3636.74	18.0603	0.341068
NM_000701	3741	3612.74	1283.23	24.3948
NM_001160234	3574	3445.74	332.381	6.62495
NR_024126	887	758.741	0	0
