target_id	length	eff_length	est_counts	tpm
HER2-CAR-GFP	2172	2038.84	6793	385.095
NM_001103170	4049	3915.84	0	0
NM_001103169	3832	3698.84	4	0.124993
NM_001013630	1575	1441.84	3	0.240488
NM_000350	7325	7191.84	1	0.0160712
NM_012089	3857	3723.84	196	6.08352
NM_002858	3616	3482.84	63.577	2.10987
NM_001122674	967	833.838	12.0718	1.67332
NM_005158	11940	11806.8	0	0
NM_001136001	2140	2006.84	0	0
NM_001168237	11918	11784.8	0	0
NM_007314	12227	12093.8	0	0
NM_001136000	11631	11497.8	133.143	1.33842
NM_001168236	12164	12030.8	0	0
NM_001168238	11855	11721.8	0	0
NM_001168239	11568	11434.8	4.44583	0.0449378
NM_000016	2603	2469.84	323	15.1155
NM_001127328	2615	2481.84	0	0
NM_030649	3759	3625.84	85	2.70957
NM_022735	3565	3431.84	123	4.14255
NM_032360	1616	1482.84	223	17.382
NM_147161	3181	3047.84	11.9611	0.453596
NM_015547	2015	1881.84	5.24596	0.322205
NM_181865	1430	1296.84	0	0
NM_181866	1414	1280.84	207.664	18.7395
NM_181864	1625	1491.84	0	0
NM_007274	1805	1671.84	95.3357	6.59099
NM_016361	1808	1674.84	93	6.418
NM_001100	1492	1358.84	24.0058	2.04192
NR_024438	1983	1849.84	1.79371	0.112075
NM_030812	1861	1727.84	1	0.0668939
NM_001103	4528	4394.84	0	0
NM_080431	1422	1288.84	0	0
NM_207191	2764	2630.84	0	0
NM_001261464	2864	2730.84	0	0
NM_207197	2981	2847.84	0	0
NM_001261465	2836	2702.84	0	0
NM_207195	2906	2772.84	0	0
NR_048579	3048	2914.84	31.6067	1.2533
NM_207194	2909	2775.84	15.0112	0.625045
NM_207196	2978	2844.84	0	0
NR_048578	3123	2989.84	47.9202	1.85251
NM_001261466	2226	2092.84	0	0
NM_003815	2834	2700.84	0	0
NR_048577	3120	2986.84	44.4619	1.72054
NM_021794	2992	2858.84	0	0
NM_005099	4332	4198.84	92.7377	2.5528
NM_025008	2893	2759.84	12.5601	0.526017
NM_019032	4201	4067.84	12.4399	0.353461
NM_001025107	6540	6406.84	146.511	2.64311
NM_015840	6593	6459.84	181.399	3.24566
NM_001193495	6709	6575.84	860.558	15.1258
NM_015841	6536	6402.84	3.22494e-06	5.82155e-08
NM_001111	6671	6537.84	265.372	4.69149
NM_052998	2182	2048.84	10	0.564133
NM_020247	2924	2790.84	562	23.2751
NM_018417	5421	5287.84	0	0
NM_001167749	4966	4832.84	4	0.0956637
NR_046083	2128	1994.84	0	0
NM_015999	2175	2041.84	576	32.6055
NM_000674	2919	2785.84	0	0
NM_001048230	2764	2630.84	1	0.0439334
NM_000677	2245	2111.84	0	0
NM_020683	2150	2016.84	0	0
NM_001081976	1163	1029.84	2	0.224466
NM_017825	1691	1557.84	232	17.2129
NM_001126	2782	2648.84	358	15.6213
NM_032785	2988	2854.84	4.60499	0.186439
NM_000646	7182	7048.84	20.349	0.333669
NM_000028	7449	7315.84	0	0
NM_000643	7169	7035.84	0	0
NM_000644	7109	6975.84	0	0
NM_000642	7371	7237.84	60.651	0.968542
NM_000645	7182	7048.84	0	0
NM_024758	3154	3020.84	175.818	6.72707
NM_012199	7478	7344.84	561	8.82815
NM_024852	3645	3511.84	114.671	3.77406
NM_177422	3387	3253.84	6.32881	0.22481
NM_017629	7060	6926.84	366.843	6.12117
NM_198576	7326	7192.84	27	0.433863
NM_000029	2581	2447.84	3	0.141654
NM_020350	1183	1049.84	362.865	39.9496
NM_001040195	1127	993.838	35.5443	4.13374
NM_001040197	1280	1146.84	78.4979	7.91125
NM_001040194	1162	1028.84	10.8687	1.22101
NM_001040196	1259	1125.84	44.224	4.54016
NM_015446	8631	8497.84	116.449	1.58385
NM_001242673	4314	4180.84	0	0
NM_001242676	4028	3894.84	0	0
NM_001242675	4039	3905.84	0	0
NM_006621	3943	3809.84	22.3124	0.676908
NM_001242674	3685	3551.84	212.688	6.92115
NM_001029882	6496	6362.84	164	2.97908
NM_022831	3006	2872.84	89	3.5807
NM_001039775	5245	5111.84	67	1.51491
NM_004833	1484	1350.84	5	0.427815
NM_001042478	2070	1936.84	0	0
NM_018836	2923	2789.84	5	0.207148
NM_001625	2759	2625.84	84.5498	3.72163
NR_037592	2877	2743.84	3.59497	0.151435
NM_013411	3671	3537.84	384.292	12.5549
NM_001199199	3647	3513.84	0	0
NR_037591	3789	3655.84	38.5735	1.21953
NM_013410	6881	6747.84	8.03325	0.137599
NM_001005353	6998	6864.84	0	0
NM_203464	6887	6753.84	15.9667	0.273247
NM_012093	3936	3802.84	4.3626	0.132595
NM_174858	3325	3191.84	5.6374	0.20414
NM_024595	2726	2592.84	225.488	10.0516
NM_001136275	2591	2457.84	29.4432	1.38459
NM_152763	3063	2929.84	0	0
NR_049760	2912	2778.84	0	0
NM_006066	1580	1446.84	1.98319e-05	1.58428e-06
NM_153326	1452	1318.84	109.404	9.5881
NM_001202414	1491	1357.84	67.0009	5.70324
NM_001202413	1363	1229.84	128.595	12.0855
NM_003689	2619	2485.84	879.761	40.9054
NR_002796	1324	1190.84	6	0.582355
NM_012067	1241	1107.84	5.69941	0.594624
NR_040289	2117	1983.84	21.501	1.25268
NR_040288	2314	2180.84	0	0
NM_005465	7082	6948.84	122.866	2.04366
NM_181690	1734	1600.84	0	0
NM_001206729	1575	1441.84	6.89789	0.552954
NM_170726	2370	2236.84	0	0
NM_001161504	3243	3109.84	15	0.557497
NM_003748	3383	3249.84	0	0
NM_000696	2500	2366.84	269	13.1363
NM_144988	1057	923.838	13	1.62644
NM_013339	3371	3237.84	109	3.891
NM_001127501	2431	2297.84	0	0
NM_000478	2596	2462.84	4	0.187721
NM_001177520	2315	2181.84	0	0
NM_006492	1478	1344.84	9	0.773503
NM_020703	2471	2337.84	8	0.395517
NM_001172626	2394	2260.84	0	0
NM_000036	2406	2272.84	0	0
NM_001257361	3392	3258.84	189.957	6.73724
NM_139156	3756	3622.84	85.5439	2.72916
NM_203404	3394	3260.84	19.3217	0.684866
NM_004037	3976	3842.84	19.1773	0.576798
NM_001257360	4109	3975.84	0	0
NM_004038	1862	1728.84	1.09582e-07	7.3261e-09
NM_001008221_2	1781	1647.84	0.763141	0.0535278
NM_004038_2	1862	1728.84	1.09582e-07	7.3261e-09
NM_004038_1	1862	1728.84	1.09582e-07	7.3261e-09
NM_001008221	1781	1647.84	0.763141	0.0535278
NM_001008221_1	1781	1647.84	0.763141	0.0535278
NM_001008218	1838	1704.84	0.180563	0.0122415
NM_001008218_1	1838	1704.84	0.180563	0.0122415
NM_001008218_2	1838	1704.84	0.180563	0.0122415
NM_001008219	1860	1726.84	3.58514e-07	2.39963e-08
NM_001008219_2	1860	1726.84	3.58514e-07	2.39963e-08
NM_001008219_1	1860	1726.84	3.58514e-07	2.39963e-08
NM_000699	1632	1498.84	0	0
NM_020978	2179	2045.84	20.4157	1.15341
NM_144567	4649	4515.84	131.106	3.35562
NM_004673	3546	3412.84	0	0
NM_014495	2126	1992.84	8	0.463989
NM_021146	2238	2104.84	3	0.164737
NM_030816	5667	5533.84	166	3.46714
NR_046228	1744	1610.84	9	0.645773
NM_001039888	3612	3478.84	11	0.365467
NM_144698	3363	3229.84	44	1.57457
NR_026844	1850	1716.84	137.219	9.2379
NM_198493	2671	2537.84	9.42747	0.429359
NM_001145210	2192	2058.84	3.6765	0.206396
NM_001243536	1632	1498.84	19.4346	1.49868
NM_001243535	1651	1517.84	4.85904e-05	3.70011e-06
NM_001136479	3129	2995.84	147.655	5.69666
NM_030920	3453	3319.84	1461.34	50.8774
NM_001136478	3330	3196.84	0	0
NM_003568	1824	1690.84	84	5.74205
NM_006594	2790	2656.84	0.372403	0.0162008
NM_001253852	2722	2588.84	333.475	14.8884
NM_001253853	2662	2528.84	34.7885	1.59002
NR_037864	1734	1600.84	38.6316	2.78923
NM_001639	931	797.838	0	0
NM_016022	2266	2132.84	146.373	7.93218
NM_001243771	2095	1961.84	116.579	6.86827
NR_045035	2192	2058.84	6.38294e-08	3.58334e-09
NR_045033	2130	1996.84	0	0
NM_001243772	1718	1584.84	0	0
NM_001077628	1928	1794.84	30.8084	1.98396
NR_045034	2021	1887.84	1.23926	0.0758728
NR_036462	1431	1297.84	44.0606	3.92392
NM_199294	1243	1109.84	16.7411	1.74346
NR_037187	1349	1215.84	0	0
NM_199006	1252	1118.84	0	0
NM_001243768	1383	1249.84	0	0
NM_198544	1319	1185.84	0	0
NM_001270517	1496	1362.84	14.2597	1.20936
NM_144772	1121	987.838	376	43.9938
NM_001643	473	340.24	1	0.339707
NM_203454	2778	2644.84	0	0
NM_080429	1791	1657.84	0	0
NM_001658	1888	1754.84	4503.47	296.62
NM_001024227	2007	1873.84	0	0
NM_001024228	1985	1851.84	34.5267	2.15497
NM_001024226	1973	1839.84	0	0
NM_004815	9117	8983.84	10	0.128655
NM_001025598	4425	4291.84	5684.18	153.078
NM_181720	3792	3658.84	68.8218	2.17406
NM_001011722	4261	4127.84	3	0.0840017
NM_018125	4494	4360.84	0	0
NM_014784	6769	6635.84	7	0.121925
NM_198236	6889	6755.84	0	0
NM_014448	2904	2770.84	5	0.208568
NM_153213	3029	2895.84	127	5.06896
NM_001162384	4179	4045.84	0.0999734	0.00285605
NM_004723	4107	3973.84	81.7754	2.37849
