target_id	length	eff_length	est_counts	tpm
HER2-CAR-GFP	2172	2050.88	5434	210.198
NM_001103170	4049	3927.88	0	0
NM_001103169	3832	3710.88	2	0.0427566
NM_001013630	1575	1453.88	4	0.218263
NM_000350	7325	7203.88	3	0.0330373
NM_012089	3857	3735.88	137	2.90923
NM_002858	3616	3494.88	115.072	2.61207
NM_001122674	967	845.883	18.9384	1.77617
NM_005158	11940	11818.9	0	0
NM_001136001	2140	2018.88	2.70294	0.106213
NM_001168237	11918	11796.9	0.311237	0.00209303
NM_007314	12227	12105.9	0	0
NM_001136000	11631	11509.9	0.0703373	0.000484802
NM_001168236	12164	12042.9	0	0
NM_001168238	11855	11733.9	65.5066	0.442887
NM_001168239	11568	11446.9	16.9226	0.117282
NM_000016	2603	2481.88	264.963	8.46942
NM_001127328	2615	2493.88	39.0371	1.2418
NM_030649	3759	3637.88	151	3.2929
NM_022735	3565	3443.88	129	2.97161
NM_032360	1616	1494.88	529	28.0736
NM_147161	3181	3059.88	67.0725	1.73896
NM_015547	2015	1893.88	9.12882	0.382395
NM_181865	1430	1308.88	1.33007e-05	8.06167e-07
NM_181866	1414	1292.88	1325.4	81.3276
NM_181864	1625	1503.88	0	0
NM_007274	1805	1683.88	681.463	32.1056
NM_016361	1808	1686.88	32	1.50493
NM_001100	1492	1370.88	76.0233	4.39943
NR_024438	1983	1861.88	2.00003	0.0852185
NM_030812	1861	1739.88	0	0
NM_001103	4528	4406.88	1	0.0180019
NM_080431	1422	1300.88	0	0
NM_207191	2764	2642.88	48.4117	1.45319
NM_001261464	2864	2742.88	0	0
NM_207197	2981	2859.88	47.5527	1.3191
NM_001261465	2836	2714.88	11.2706	0.329342
NM_207195	2906	2784.88	26.5213	0.755506
NR_048579	3048	2926.88	0	0
NM_207194	2909	2787.88	105.077	2.99009
NM_207196	2978	2856.88	47.4965	1.31892
NR_048578	3123	3001.88	89.5848	2.3675
NM_001261466	2226	2104.88	0	0
NM_003815	2834	2712.88	132.145	3.8643
NR_048577	3120	2998.88	38.9399	1.03012
NM_021794	2992	2870.88	1	0.0276334
NM_005099	4332	4210.88	54.2642	1.02233
NM_025008	2893	2771.88	8.88082	0.254172
NM_019032	4201	4079.88	3.11918	0.0606516
NM_001025107	6540	6418.88	839.311	10.3732
NM_015840	6593	6471.88	84.2242	1.03242
NM_001193495	6709	6587.88	568.86	6.8503
NM_015841	6536	6414.88	2.23793e-06	2.76762e-08
NM_001111	6671	6549.88	63.1596	0.76499
NM_052998	2182	2060.88	3	0.115483
NM_020247	2924	2802.88	215	6.08532
NM_018417	5421	5299.88	0	0
NM_001167749	4966	4844.88	0	0
NR_046083	2128	2006.88	18.146	0.717312
NM_015999	2175	2053.88	742.854	28.6931
NM_000674	2919	2797.88	0	0
NM_001048230	2764	2642.88	0	0
NM_000677	2245	2123.88	0	0
NM_020683	2150	2028.88	0	0
NM_001081976	1163	1041.88	0	0
NM_017825	1691	1569.88	827	41.7915
NM_001126	2782	2660.88	559	16.6662
NM_032785	2988	2866.88	0	0
NM_000646	7182	7060.88	5.93138	0.0666419
NM_000028	7449	7327.88	0	0
NM_000643	7169	7047.88	0	0
NM_000644	7109	6987.88	0	0
NM_000642	7371	7249.88	63.0686	0.690132
NM_000645	7182	7060.88	0	0
NM_024758	3154	3032.88	226.32	5.91995
NM_012199	7478	7356.88	569	6.13576
NM_024852	3645	3523.88	90.1493	2.02951
NM_177422	3387	3265.88	10.8507	0.263577
NM_017629	7060	6938.88	73.351	0.838623
NM_198576	7326	7204.88	70	0.770764
NM_000029	2581	2459.88	0	0
NM_020350	1183	1061.88	563.415	42.0922
NM_001040195	1127	1005.88	0	0
NM_001040197	1280	1158.88	68.2552	4.67247
NM_001040194	1162	1040.88	147.077	11.2097
NM_001040196	1259	1137.88	16.2534	1.13318
NM_015446	8631	8509.88	161	1.5009
NM_001242673	4314	4192.88	0	0
NM_001242676	4028	3906.88	0	0
NM_001242675	4039	3917.88	33.2024	0.672308
NM_006621	3943	3821.88	192.576	3.99736
NM_001242674	3685	3563.88	245.222	5.45866
NM_001029882	6496	6374.88	387	4.81603
NM_022831	3006	2884.88	107	2.94243
NM_001039775	5245	5123.88	15	0.232243
NM_004833	1484	1362.88	3	0.174628
NM_001042478	2070	1948.88	0	0
NM_018836	2923	2801.88	2	0.0566278
NM_001625	2759	2637.88	204.406	6.14735
NR_037592	2877	2755.88	2.57177	0.0740322
NM_013411	3671	3549.88	1660.25	37.1031
NM_001199199	3647	3525.88	0	0
NR_037591	3789	3667.88	79.7687	1.72531
NM_013410	6881	6759.88	7.08615	0.0831613
NM_001005353	6998	6876.88	58.9931	0.68055
NM_203464	6887	6765.88	2.92073	0.0342466
NM_012093	3936	3814.88	0	0
NM_174858	3325	3203.88	3	0.0742839
NM_024595	2726	2604.88	353.612	10.7693
NM_001136275	2591	2469.88	2.6635e-06	8.55512e-08
NM_152763	3063	2941.88	0	0
NR_049760	2912	2790.88	0	0
NM_006066	1580	1458.88	4.40972	0.239795
NM_153326	1452	1330.88	354.771	21.1475
NM_001202414	1491	1369.88	267.285	15.4789
NM_001202413	1363	1241.88	430.534	27.5028
NM_003689	2619	2497.88	1202.46	38.1898
NR_002796	1324	1202.88	2.00342	0.132129
NM_012067	1241	1119.88	0	0
NR_040289	2117	1995.88	0	0
NR_040288	2314	2192.88	8.5311	0.308631
NM_005465	7082	6960.88	66.3559	0.75625
NM_181690	1734	1612.88	0	0
NM_001206729	1575	1453.88	0	0
NM_170726	2370	2248.88	0	0
NM_001161504	3243	3121.88	58	1.47388
NM_003748	3383	3261.88	0	0
NM_000696	2500	2378.88	450	15.0068
NM_144988	1057	935.883	56	4.74697
NM_013339	3371	3249.88	99	2.41667
NM_001127501	2431	2309.88	0	0
NM_000478	2596	2474.88	0	0
NM_001177520	2315	2193.88	0	0
NM_006492	1478	1356.88	1	0.0584666
NM_020703	2471	2349.88	0	0
NM_001172626	2394	2272.88	0	0
NM_000036	2406	2284.88	0	0
NM_001257361	3392	3270.88	161.419	3.91506
NM_139156	3756	3634.88	265.833	5.80187
NM_203404	3394	3272.88	28.1991	0.683527
NM_004037	3976	3854.88	0	0
NM_001257360	4109	3987.88	35.5494	0.707196
NM_004038	1862	1740.88	0	0
NM_001008221_2	1781	1659.88	0.974442	0.0465724
NM_004038_2	1862	1740.88	0	0
NM_004038_1	1862	1740.88	0	0
NM_001008221	1781	1659.88	0.974442	0.0465724
NM_001008221_1	1781	1659.88	0.974442	0.0465724
NM_001008218	1838	1716.88	0	0
NM_001008218_1	1838	1716.88	0	0
NM_001008218_2	1838	1716.88	0	0
NM_001008219	1860	1738.88	0	0
NM_001008219_2	1860	1738.88	0	0
