target_id	length	eff_length	est_counts	tpm
HER2-CAR-GFP	2172	2049.21	4556	168.972
NM_001103170	4049	3926.21	0	0
NM_001103169	3832	3709.21	2	0.0409795
NM_001013630	1575	1452.21	0	0
NM_000350	7325	7202.21	4	0.0422097
NM_012089	3857	3734.21	213	4.3351
NM_002858	3616	3493.21	113.881	2.47768
NM_001122674	967	844.21	9.66463	0.870068
NM_005158	11940	11817.2	0	0
NM_001136001	2140	2017.21	0	0
NM_001168237	11918	11795.2	0.143473	0.000924451
NM_007314	12227	12104.2	0	0
NM_001136000	11631	11508.2	0.106877	0.000705819
NM_001168236	12164	12041.2	0	0
NM_001168238	11855	11732.2	63.6191	0.412122
NM_001168239	11568	11445.2	55.1936	0.366508
NM_000016	2603	2480.21	289.762	8.87915
NM_001127328	2615	2492.21	68.2381	2.08094
NM_030649	3759	3636.21	211	4.41013
NM_022735	3565	3442.21	131	2.89236
NM_032360	1616	1493.21	554	28.1973
NM_147161	3181	3058.21	9.20288	0.228705
NM_015547	2015	1892.21	12.5707	0.504904
NM_181865	1430	1307.21	1.07914e-05	6.27407e-07
NM_181866	1414	1291.21	1305.69	76.8534
NM_181864	1625	1502.21	0	0
NM_007274	1805	1682.21	429.109	19.3868
NM_016361	1808	1685.21	99	4.46477
NM_001100	1492	1369.21	76.0147	4.21935
NR_024438	1983	1860.21	2.61591	0.106876
NM_030812	1861	1738.21	3	0.131171
NM_001103	4528	4405.21	6	0.103515
NM_080431	1422	1299.21	0	0
NM_207191	2764	2641.21	0	0
NM_001261464	2864	2741.21	30.0662	0.833594
NM_207197	2981	2858.21	11.8474	0.315026
NM_001261465	2836	2713.21	0.00013617	3.81431e-06
NM_207195	2906	2783.21	0	0
NR_048579	3048	2925.21	0	0
NM_207194	2909	2786.21	22.2616	0.60724
NM_207196	2978	2855.21	63.6947	1.69544
NR_048578	3123	3000.21	15.13	0.38327
NM_001261466	2226	2103.21	0	0
NM_003815	2834	2711.21	91.2675	2.55842
NR_048577	3120	2997.21	74.7325	1.89501
NM_021794	2992	2869.21	1	0.0264884
NM_005099	4332	4209.21	113.778	2.05435
NM_025008	2893	2770.21	24.7642	0.679407
NM_019032	4201	4078.21	6.2358	0.116209
NM_001025107	6540	6417.21	582.743	6.90159
NM_015840	6593	6470.21	302.889	3.55781
NM_001193495	6709	6586.21	850.23	9.81114
NM_015841	6536	6413.21	134.323	1.59181
