target_id	length	eff_length	est_counts	tpm
NM_001103170	4049	3918.61	0	0
NM_001103169	3832	3701.61	8	0.218335
NM_001013630	1575	1444.61	0	0
NM_000350	7325	7194.61	3	0.0421247
NM_012089	3857	3726.61	109	2.95485
NM_002858	3616	3485.61	199.033	5.7686
NM_001122674	967	836.61	9.77889	1.18084
NM_005158	11940	11809.6	31.7549	0.271643
NM_001136001	2140	2009.61	0	0
NM_001168237	11918	11787.6	0	0
NM_007314	12227	12096.6	0	0
NM_001136000	11631	11500.6	0.0504773	0.000443403
NM_001168236	12164	12033.6	0	0
NM_001168238	11855	11724.6	0	0
NM_001168239	11568	11437.6	44.1095	0.389601
NM_000016	2603	2472.61	280.692	11.4683
NM_001127328	2615	2484.61	10.3081	0.419127
NM_030649	3759	3628.61	70	1.94886
NM_022735	3565	3434.61	79	2.32366
NM_032360	1616	1485.61	369	25.0926
NM_147161	3181	3050.61	16.5067	0.546634
NM_015547	2015	1884.61	9.91603	0.531544
NM_181865	1430	1299.61	1.09877e-06	8.54116e-08
NM_181866	1414	1283.61	763.915	60.1223
NM_181864	1625	1494.61	27.6727	1.87045
NM_007274	1805	1674.61	524.319	31.6304
NM_016361	1808	1677.61	54	3.25182
NM_001100	1492	1361.61	81.0218	6.01136
NR_024438	1983	1852.61	4.00009	0.218127
NM_030812	1861	1730.61	1	0.0583746
NM_001103	4528	4397.61	1	0.0229724
NM_080431	1422	1291.61	1	0.0782153
NM_207191	2764	2633.61	97.7166	3.74835
NM_001261464	2864	2733.61	26.1679	0.967067
NM_207197	2981	2850.61	16.4121	0.581633
NM_001261465	2836	2705.61	0	0
NM_207195	2906	2775.61	0	0
NR_048579	3048	2917.61	0.0979594	0.00339189
NM_207194	2909	2778.61	62.7433	2.2812
NM_207196	2978	2847.61	0	0
NR_048578	3123	2992.61	15.0664	0.508608
NM_001261466	2226	2095.61	0	0
NM_003815	2834	2703.61	32.5184	1.21509
NR_048577	3120	2989.61	34.2773	1.15829
NM_021794	2992	2861.61	2	0.0706062
NM_005099	4332	4201.61	29.3641	0.706032
NM_025008	2893	2762.61	2.3907	0.0874236
NM_019032	4201	4070.61	6.6093	0.164028
NM_001025107	6540	6409.61	753.353	11.8738
NM_015840	6593	6462.61	176.693	2.76207
NM_001193495	6709	6578.61	795.75	12.2198
NM_015841	6536	6405.61	131.763	2.07805
NM_001111	6671	6540.61	5.20658e-05	8.04188e-07
NM_052998	2182	2051.61	19	0.935582
NM_020247	2924	2793.61	112	4.05019
NM_018417	5421	5290.61	0	0
NM_001167749	4966	4835.61	2	0.0417832
NR_046083	2128	1997.61	49.9395	2.52555
NM_015999	2175	2044.61	1212.06	59.8876
NM_000674	2919	2788.61	0	0
NM_001048230	2764	2633.61	0	0
NM_000677	2245	2114.61	0	0
NM_020683	2150	2019.61	3	0.150064
NM_001081976	1163	1032.61	0	0
NM_017825	1691	1560.61	468	30.2953
NM_001126	2782	2651.61	805	30.6697
NM_032785	2988	2857.61	4.30827	0.152308
NM_000646	7182	7051.61	18.581	0.266198
NM_000028	7449	7318.61	0	0
NM_000643	7169	7038.61	7.05239	0.101221
NM_000644	7109	6978.61	0	0
NM_000642	7371	7240.61	78.4369	1.09438
NM_000645	7182	7051.61	3.92966	0.0562976
NM_024758	3154	3023.61	87.8589	2.93551
NM_012199	7478	7347.61	581	7.98828
NM_024852	3645	3514.61	162	4.65652
NM_177422	3387	3256.61	0	0
NM_017629	7060	6929.61	109.649	1.59852
NM_198576	7326	7195.61	11	0.154436
NM_000029	2581	2450.61	2	0.0824478
NM_020350	1183	1052.61	1342.12	128.81
NM_001040195	1127	996.61	71.5033	7.2481
NM_001040197	1280	1149.61	210.93	18.5358
NM_001040194	1162	1031.61	221.183	21.66
NM_001040196	1259	1128.61	2.26117	0.202401
NM_015446	8631	8500.61	153.747	1.82718
NM_001242673	4314	4183.61	0	0
NM_001242676	4028	3897.61	0	0
NM_001242675	4039	3908.61	22.0825	0.570755
NM_006621	3943	3812.61	73.8878	1.95782
NM_001242674	3685	3554.61	80.0297	2.27448
NM_001029882	6496	6365.61	97	1.53941
NM_022831	3006	2875.61	121	4.25088
NM_001039775	5245	5114.61	42	0.829583
NM_004833	1484	1353.61	0	0
NM_001042478	2070	1939.61	1	0.0520845
NM_018836	2923	2792.61	0	0
NM_001625	2759	2628.61	93.6654	3.59978
NR_037592	2877	2746.61	0.67875	0.0249652
NM_013411	3671	3540.61	1481.99	42.2855
NM_001199199	3647	3516.61	0	0
NR_037591	3789	3658.61	50.5128	1.39479
NM_013410	6881	6750.61	10.04	0.150249
NM_001005353	6998	6867.61	0	0
NM_203464	6887	6756.61	9.96002	0.148921
NM_012093	3936	3805.61	0	0
NM_174858	3325	3194.61	6	0.189739
NM_024595	2726	2595.61	243.009	9.45814
NM_001136275	2591	2460.61	0	0
NM_152763	3063	2932.61	1	0.0344484
NR_049760	2912	2781.61	0	0
NM_006066	1580	1449.61	111.635	7.77987
NM_153326	1452	1321.61	101.798	7.78144
NM_001202414	1491	1360.61	159.319	11.8293
NM_001202413	1363	1232.61	317.247	26.0013
NM_003689	2619	2488.61	1146.33	46.5347
