target_id	length	eff_length	est_counts	tpm
HER2-CAR-GFP	2172	2041.21	3902	311.256
NM_001103170	4049	3918.21	0	0
NM_001103169	3832	3701.21	4	0.175969
NM_001013630	1575	1444.21	1	0.112742
NM_000350	7325	7194.21	5	0.113163
NM_012089	3857	3726.21	201	8.78309
NM_002858	3616	3485.21	110.58	5.16614
NM_001122674	967	836.214	6.22339	1.21179
NM_005158	11940	11809.2	0	0
NM_001136001	2140	2009.21	0	0
NM_001168237	11918	11787.2	0.11642	0.00160818
NM_007314	12227	12096.2	0	0
NM_001136000	11631	11500.2	0.0643341	0.000910866
NM_001168236	12164	12033.2	0	0
NM_001168238	11855	11724.2	40.7296	0.565647
NM_001168239	11568	11437.2	26.0606	0.371008
NM_000016	2603	2472.21	165.441	10.8962
NM_001127328	2615	2484.21	31.5592	2.0685
NM_030649	3759	3628.21	72	3.23116
NM_022735	3565	3434.21	90	4.26711
NM_032360	1616	1485.21	189	20.7201
NM_147161	3181	3050.21	39.5832	2.113
NM_015547	2015	1884.21	8.73954	0.755227
NM_181865	1430	1299.21	0	0
NM_181866	1414	1283.21	310.325	39.3764
NM_181864	1625	1494.21	6.56681	0.715584
NM_007274	1805	1674.21	78.0538	7.59106
NM_016361	1808	1677.21	21	2.03868
NM_001100	1492	1361.21	28.8569	3.45178
NR_024438	1983	1852.21	2.00002	0.175818
NM_030812	1861	1730.21	1	0.0941064
NM_001103	4528	4397.21	1	0.037029
NM_080431	1422	1291.21	1	0.126102
NM_207191	2764	2633.21	69.954	4.32559
NM_001261464	2864	2733.21	0	0
NM_207197	2981	2850.21	0	0
NM_001261465	2836	2705.21	0	0
NM_207195	2906	2775.21	0	0
NR_048579	3048	2917.21	0	0
NM_207194	2909	2778.21	2.40035e-06	1.40679e-07
NM_207196	2978	2847.21	4.88291e-08	2.7924e-09
NR_048578	3123	2992.21	1.02889e-07	5.5988e-09
NM_001261466	2226	2095.21	0	0
NM_003815	2834	2703.21	0.504197	0.0303696
NR_048577	3120	2989.21	60.5418	3.29775
NM_021794	2992	2861.21	3	0.170722
NM_005099	4332	4201.21	58.8553	2.28102
NM_025008	2893	2762.21	2.10572	0.124126
NM_019032	4201	4070.21	24.8943	0.995867
NM_001025107	6540	6409.21	336.434	8.54701
NM_015840	6593	6462.21	0.000575669	1.45048e-05
NM_001193495	6709	6578.21	644.273	15.9471
NM_015841	6536	6405.21	59.3645	1.50908
NM_001111	6671	6540.21	17.2096	0.428447
NM_052998	2182	2051.21	2	0.158759
